,System,Night,T_sececl,Tmid,Obs_start,Obs_end,Sunalt_start,Sunalt_mid,Sunalt_end,Airm_start,Airm_mid,Airm_end,Moon_dist,Timing,GoodCond,GoodCond_before,GoodCond_after
0,GJ 9827 c,2021-07-07,2459403.9045309434,2459403.8179075574,2459403.7554131723,2459403.8804019773,-71.59,-51.17,-30.99,1.51,1.17,1.09,94.87,Before,True,2.4,2.46
1,GJ 9827 c,2021-07-18,2459414.8478901773,2459414.761266035,2459414.6987711033,2459414.8237610003,-86.07,-69.58,-49.15,1.83,1.27,1.1,120.75,Before,True,1.76,3.8
2,GJ 9827 c,2021-08-09,2459436.734973772,2459436.8216001606,2459436.75910356,2459436.8840968003,-68.05,-48.06,-27.63,1.11,1.12,1.33,165.55,After,True,4.65,2.19
3,GJ 9827 c,2021-08-20,2459447.678749914,2459447.765377664,2459447.7028800813,2459447.8278752873,-77.24,-63.93,-44.23,1.16,1.09,1.21,39.89,After,True,4.02,3.41
4,GJ 9827 c,2021-08-31,2459458.6227078815,2459458.709337108,2459458.64683846,2459458.7718357965,-66.29,-72.88,-59.22,1.25,1.1,1.13,97.77,After,True,3.4,4.23
5,GJ 9827 c,2021-09-11,2459469.5668608504,2459469.6534916423,2459469.5909918654,2459469.7159914593,-48.9,-65.11,-67.97,1.39,1.13,1.1,114.8,After,True,2.78,4.84
6,GJ 9827 c,2021-09-22,2459480.511215248,2459480.5978476177,2459480.535346703,2459480.6603485704,-30.42,-49.12,-62.93,1.61,1.2,1.09,33.2,After,True,2.16,5.46
7,GJ 9827 c,2021-09-29,2459487.8075628607,2459487.7209292934,2459487.658427564,2459487.7834310597,-60.36,-60.26,-47.04,1.09,1.21,1.65,117.74,Before,True,5.35,2.05
8,GJ 9827 c,2021-10-10,2459498.7522475687,2459498.665612495,2459498.6031096815,2459498.728115347,-46.66,-57.31,-55.07,1.09,1.14,1.41,89.91,Before,True,3.93,2.65
9,GJ 9827 c,2021-10-21,2459509.697116317,2459509.610479877,2459509.547976078,2459509.672983715,-29.89,-45.53,-53.9,1.13,1.1,1.26,53.62,Before,True,2.49,3.26
10,GJ 9827 d,2021-07-28,2459424.6561758923,2459424.7302567614,2459424.667761181,2459424.7927523754,-77.41,-78.5,-58.76,1.89,1.29,1.11,19.44,After,True,1.67,4.49
11,GJ 9827 d,2021-08-03,2459430.8572354186,2459430.783153916,2459430.720657846,2459430.8456500247,-79.9,-61.3,-40.91,1.26,1.1,1.13,90.75,Before,True,3.33,3.17
12,GJ 9827 d,2021-08-28,2459455.6620010105,2459455.7360851695,2459455.6735868123,2459455.798583567,-72.6,-69.53,-51.91,1.18,1.09,1.18,62.69,After,True,3.84,3.78
13,GJ 9827 d,2021-09-03,2459461.8633400444,2459461.789255056,2459461.7267560433,2459461.851754106,-69.36,-53.25,-33.54,1.09,1.2,1.62,135.57,Before,True,5.51,2.11
14,GJ 9827 d,2021-09-28,2459486.669338821,2459486.5952508277,2459486.532749283,2459486.657752412,-28.91,-47.28,-60.61,1.48,1.16,1.09,104.24,Before,True,2.35,5.13
15,GJ 9827 d,2021-09-28,2459486.669338821,2459486.74342687,2459486.6809252314,2459486.805928543,-62.62,-56.89,-41.07,1.11,1.3,1.93,106.01,After,True,5.9,1.57
16,GJ 9827 d,2021-10-29,2459517.678226479,2459517.6041350295,2459517.541630567,2459517.6666395296,-26.63,-42.14,-50.92,1.1,1.12,1.35,148.79,Before,True,2.24,2.88
17,K2-137 b,2021-05-27,2459362.648851283,2459362.587135042,2459362.5246298816,2459362.6496402374,-34.13,-54.43,-74.84,1.05,1.12,1.4,80.97,Before,True,2.73,2.65
18,K2-137 b,2021-05-28,2459363.547500636,2459363.6092169103,2459363.546711681,2459363.6717221723,-41.27,-61.65,-81.89,1.06,1.19,1.63,95.9,After,True,3.26,2.05
19,K2-137 b,2021-05-29,2459364.625880887,2459364.564164549,2459364.5016592923,2459364.6266698427,-26.8,-46.95,-67.36,1.07,1.08,1.29,109.45,Before,True,2.18,3.07
20,K2-137 b,2021-05-30,2459365.5245317607,2459365.586248128,2459365.523742805,2459365.648753486,-33.88,-54.14,-74.57,1.05,1.13,1.46,123.47,After,True,2.71,2.47
21,K2-137 b,2021-05-31,2459366.602913761,2459366.541197333,2459366.478691985,2459366.6037027184,-19.56,-39.5,-59.84,1.09,1.06,1.2,136.07,Before,True,1.63,3.49
22,K2-137 b,2021-06-01,2459367.501566078,2459367.5632825326,2459367.500777121,2459367.62578798,-26.54,-46.65,-67.05,1.06,1.09,1.33,149.0,After,True,2.17,2.89
23,K2-137 b,2021-06-01,2459367.6812967313,2459367.6195802153,2459367.5570747713,2459367.6820856896,-44.63,-65.02,-85.12,1.08,1.29,1.95,149.69,Before,True,3.52,1.54
24,K2-137 b,2021-06-03,2459369.478603408,2459369.5403199443,2459369.4778144504,2459369.602825475,-19.3,-39.2,-59.51,1.08,1.07,1.23,170.59,After,True,1.62,3.31
25,K2-137 b,2021-06-03,2459369.658334302,2459369.596617702,2459369.534112175,2459369.659123261,-37.2,-57.48,-77.9,1.06,1.21,1.68,170.97,Before,True,2.97,1.96
26,K2-137 b,2021-06-05,2459371.6353746755,2459371.5736579983,2459371.511152395,2459371.6361636356,-29.82,-49.96,-70.37,1.05,1.14,1.49,159.67,Before,True,2.42,2.38
27,K2-137 b,2021-06-06,2459372.5340302056,2459372.5957469037,2459372.533241246,2459372.658252593,-36.88,-57.13,-77.56,1.07,1.24,1.78,148.16,After,True,2.95,1.79
28,K2-137 b,2021-06-07,2459373.6124176537,2459373.5507009067,2459373.4881952335,2459373.6132066147,-22.53,-42.48,-62.81,1.06,1.1,1.35,137.15,Before,True,1.86,2.8
29,K2-137 b,2021-06-08,2459374.511074313,2459374.5727910767,2459374.510285352,2459374.6352968346,-29.5,-49.6,-70.0,1.06,1.17,1.56,125.25,After,True,2.39,2.21
30,K2-137 b,2021-06-10,2459376.488120723,2459376.5498375464,2459376.4873317615,2459376.6123433653,-22.2,-42.12,-62.42,1.05,1.12,1.41,101.91,After,True,1.84,2.63
31,K2-137 b,2021-06-12,2459378.6449011,2459378.5831841645,2459378.5206782953,2459378.645690064,-32.7,-52.85,-73.25,1.07,1.26,1.84,77.42,Before,True,2.64,1.69
32,K2-137 b,2021-06-14,2459380.6219516066,2459380.5602346235,2459380.497728708,2459380.622740571,-25.35,-45.33,-65.66,1.06,1.18,1.6,53.01,Before,True,2.08,2.11
33,K2-137 b,2021-06-15,2459381.5206114147,2459381.582328405,2459381.5198224513,2459381.6448343876,-32.32,-52.45,-72.84,1.08,1.3,1.97,40.13,After,True,2.61,1.52
34,K2-137 b,2021-06-16,2459382.599003744,2459382.537286721,2459382.4747807668,2459382.5997927086,-18.09,-37.86,-58.08,1.05,1.13,1.44,28.0,Before,True,1.52,2.53
35,K2-137 b,2021-06-17,2459383.4976642337,2459383.559381259,2459383.4968752693,2459383.6218872797,-24.97,-44.93,-65.25,1.06,1.21,1.69,15.31,After,True,2.05,1.94
36,K2-137 b,2021-06-23,2459389.60856225,2459389.5468451,2459389.484339013,2459389.6093512163,-20.75,-40.59,-60.86,1.07,1.23,1.74,73.76,Before,True,1.73,1.85
37,K2-137 b,2021-06-26,2459392.4842814645,2459392.5459986157,2459392.4834924983,2459392.608504761,-20.32,-40.16,-60.43,1.08,1.26,1.86,117.37,After,True,1.7,1.67
38,K2-137 b,2022-01-21,2459601.8503673202,2459601.7886619703,2459601.726167836,2459601.8511561356,-45.12,-36.84,-22.22,1.76,1.23,1.07,18.6,Before,True,1.86,1.85
39,K2-137 b,2022-01-24,2459604.7255433453,2459604.7872488014,2459604.724754529,2459604.849743107,-45.94,-37.8,-23.18,1.67,1.2,1.06,23.51,After,True,2.03,1.93
40,K2-137 b,2022-01-26,2459606.7022304665,2459606.7639360125,2459606.701441649,2459606.826430408,-46.97,-42.33,-29.56,1.93,1.29,1.08,50.56,After,True,1.6,2.52
41,K2-137 b,2022-01-28,2459608.8586199726,2459608.7969142683,2459608.73441978,2459608.8594087926,-46.33,-36.79,-21.35,1.45,1.13,1.05,79.88,Before,True,2.52,1.76
42,K2-137 b,2022-01-30,2459610.8353140657,2459610.7736082594,2459610.7111136657,2459610.836102887,-48.03,-41.79,-27.98,1.63,1.19,1.06,108.97,Before,True,2.09,2.35
43,K2-137 b,2022-01-31,2459611.733812641,2459611.795518486,2459611.7330238195,2459611.858013188,-47.28,-37.82,-22.32,1.4,1.12,1.05,123.88,After,True,2.68,1.84
44,K2-137 b,2022-02-01,2459612.8120118533,2459612.7503059376,2459612.687811231,2459612.812800676,-48.16,-45.82,-34.19,1.89,1.27,1.08,137.53,Before,True,1.66,2.94
45,K2-137 b,2022-02-02,2459613.7105121915,2459613.77221815,2459613.7097233688,2459613.8347129663,-48.92,-42.83,-28.98,1.56,1.17,1.06,151.67,After,True,2.25,2.43
46,K2-137 b,2022-02-04,2459615.687215743,2459615.7489218223,2459615.6864269185,2459615.8114167587,-48.95,-46.85,-35.21,1.78,1.24,1.07,173.17,After,True,1.83,3.02
47,K2-137 b,2022-02-04,2459615.8669161825,2459615.8052100376,2459615.7427151045,2459615.8677050085,-47.56,-36.66,-20.37,1.27,1.08,1.07,173.22,Before,True,3.18,1.67
48,K2-137 b,2022-02-06,2459617.8436242947,2459617.7819180246,2459617.719422965,2459617.8444131217,-49.89,-42.12,-27.25,1.38,1.11,1.06,154.22,Before,True,2.75,2.26
49,K2-137 b,2022-02-07,2459618.742129455,2459618.8038357724,2459618.7413406274,2459618.866330955,-48.6,-37.7,-21.33,1.24,1.07,1.08,142.07,After,True,3.34,1.75
50,K2-137 b,2022-02-08,2459619.820336799,2459619.758630399,2459619.696135206,2459619.8211256284,-50.63,-46.7,-33.77,1.53,1.16,1.05,130.79,Before,True,2.32,2.85
51,K2-137 b,2022-02-09,2459620.7188440263,2459620.780550477,2459620.718055197,2459620.8430457944,-50.9,-43.19,-28.23,1.33,1.09,1.06,118.79,After,True,2.91,2.34
52,K2-137 b,2022-02-10,2459621.7970538666,2459621.735347331,2459621.672851999,2459621.7978426972,-49.69,-50.12,-39.81,1.74,1.23,1.07,107.6,Before,True,1.89,3.44
53,K2-137 b,2022-02-11,2459622.695563234,2459622.7572698235,2459622.694774403,2459622.819765281,-51.56,-47.8,-34.8,1.47,1.14,1.05,95.58,After,True,2.49,2.92
54,K2-137 b,2022-02-11,2459622.875265168,2459622.813558508,2459622.751063055,2459622.8760540006,-48.68,-36.35,-19.23,1.16,1.05,1.12,94.91,Before,True,3.84,1.57
55,K2-137 b,2022-02-13,2459624.6722872355,2459624.7339939694,2459624.6714984025,2459624.796489571,-50.51,-51.21,-40.87,1.65,1.2,1.06,71.97,After,True,2.06,3.51
56,K2-137 b,2022-02-13,2459624.8519895864,2459624.7902827836,2459624.7277871855,2459624.852778421,-51.7,-42.25,-26.33,1.22,1.07,1.08,71.29,Before,True,3.41,2.16
57,K2-137 b,2022-02-14,2459625.7505023256,2459625.812209184,2459625.749713491,2459625.874704916,-49.79,-37.38,-20.15,1.14,1.05,1.14,58.82,After,True,4.0,1.65
58,K2-137 b,2022-02-15,2459626.64901618,2459626.7107230634,2459626.648227345,2459626.773218815,-47.89,-53.11,-46.27,1.91,1.28,1.08,47.69,After,True,1.63,4.1
59,K2-137 b,2022-02-15,2459626.828718963,2459626.767012013,2459626.704516265,2459626.8295077994,-53.14,-47.4,-33.15,1.32,1.09,1.06,46.99,Before,True,2.98,2.75
60,K2-137 b,2022-02-16,2459627.7272340176,2459627.7889410257,2459627.7264451813,2459627.8514369093,-52.8,-43.33,-27.29,1.19,1.06,1.09,34.18,After,True,3.57,2.23
61,K2-137 b,2022-02-17,2459628.8054534416,2459628.74374634,2459628.681250437,2459628.8062422797,-52.8,-51.5,-39.57,1.44,1.13,1.05,22.2,Before,True,2.55,3.33
62,K2-137 b,2022-02-18,2459629.703970875,2459629.765678038,2459629.703182037,2459629.8281740774,-54.19,-48.52,-34.14,1.28,1.08,1.07,10.21,After,True,3.15,2.82
63,K2-137 b,2022-02-19,2459630.7821931625,2459630.7204859043,2459630.657989842,2459630.7829820025,-50.75,-54.19,-45.42,1.61,1.19,1.06,8.33,Before,True,2.13,3.91
64,K2-137 b,2022-02-20,2459631.680713038,2459631.7424203595,2459631.679924198,2459631.8049165597,-53.75,-52.65,-40.61,1.39,1.11,1.06,19.97,After,True,2.72,3.4
65,K2-137 b,2022-02-20,2459631.860417107,2459631.7987097134,2459631.7362135174,2459631.8612059485,-53.34,-42.12,-25.19,1.13,1.05,1.15,20.69,Before,True,4.07,2.05
66,K2-137 b,2022-02-21,2459632.7589382655,2459632.697230846,2459632.6347346194,2459632.7597271074,-47.24,-55.15,-50.46,1.86,1.26,1.08,32.59,Before,True,1.7,4.5
67,K2-137 b,2022-02-21,2459632.7589382655,2459632.8206457226,2459632.7581494236,2459632.8831420606,-50.72,-36.8,-18.78,1.08,1.07,1.24,34.25,After,True,4.66,1.54
68,K2-137 b,2022-02-22,2459633.6574606462,2459633.719168132,2459633.656671804,2459633.7816644968,-51.57,-55.33,-46.51,1.54,1.16,1.05,46.53,After,True,2.29,3.98
69,K2-137 b,2022-02-22,2459633.8371651904,2459633.7754576337,2459633.7129612723,2459633.837954034,-55.56,-47.82,-32.27,1.18,1.06,1.1,47.31,Before,True,3.64,2.63
70,K2-137 b,2022-02-23,2459634.735688891,2459634.797396513,2459634.7349000466,2459634.859893019,-54.5,-43.17,-26.1,1.11,1.06,1.17,61.52,After,True,4.24,2.12
71,K2-137 b,2022-02-24,2459635.6342138406,2459635.6959214956,2459635.633424996,2459635.75841803,-47.93,-56.22,-51.6,1.75,1.23,1.07,74.17,After,True,1.87,4.56
72,K2-137 b,2022-02-24,2459635.8139188746,2459635.7522111502,2459635.6897146194,2459635.81470772,-55.93,-52.6,-39.03,1.26,1.07,1.07,74.96,Before,True,3.22,3.21
73,K2-137 b,2022-02-25,2459636.712445181,2459636.7741529727,2459636.711656335,2459636.8366496507,-56.69,-48.93,-33.22,1.16,1.05,1.12,89.47,After,True,3.81,2.7
74,K2-137 b,2022-02-26,2459637.7906783,2459637.728970404,2459637.6664736983,2459637.791467148,-54.43,-56.1,-45.34,1.37,1.11,1.06,103.1,Before,True,2.79,3.79
75,K2-137 b,2022-02-27,2459638.6892072754,2459638.750915241,2459638.688418427,2459638.8134120954,-56.99,-53.76,-40.03,1.23,1.07,1.08,117.66,After,True,3.38,3.28
76,K2-137 b,2022-02-27,2459638.868913223,2459638.807205184,2459638.7447083336,2459638.8697020733,-54.68,-41.66,-23.82,1.07,1.07,1.25,118.46,Before,True,4.73,1.93
77,K2-137 b,2022-02-28,2459639.767443603,2459639.705735531,2459639.6432386464,2459639.768232453,-51.26,-57.9,-50.98,1.51,1.15,1.05,131.17,Before,True,2.36,4.37
78,K2-137 b,2022-03-01,2459640.6659753066,2459640.7276834506,2459640.6651864555,2459640.7901804848,-55.35,-57.29,-46.4,1.32,1.09,1.06,145.39,After,True,2.96,3.86
79,K2-137 b,2022-03-01,2459640.8456817735,2459640.7839735555,2459640.7214765255,2459640.8464706256,-57.75,-47.86,-31.11,1.1,1.06,1.18,146.16,Before,True,4.31,2.51
80,K2-137 b,2022-03-02,2459641.744214911,2459641.682506659,2459641.620009591,2459641.7450037636,-46.82,-57.7,-55.63,1.71,1.22,1.06,158.23,Before,True,1.94,4.95
81,K2-137 b,2022-03-02,2459641.744214911,2459641.8059232016,2459641.7434260584,2459641.868420384,-55.85,-42.67,-24.68,1.07,1.08,1.29,159.84,After,True,4.9,1.99
82,K2-137 b,2022-03-03,2459642.6427493948,2459642.704457721,2459642.6419605413,2459642.766954939,-52.05,-59.05,-52.1,1.45,1.13,1.05,170.46,After,True,2.53,4.44
83,K2-137 b,2022-03-03,2459642.8224563906,2459642.760747991,2459642.698250777,2459642.823245245,-58.97,-53.32,-38.17,1.15,1.05,1.12,170.99,Before,True,3.88,3.09
84,K2-137 b,2022-03-04,2459643.7209923347,2459643.7827008083,2459643.7202034798,2459643.845198177,-58.94,-48.93,-32.0,1.09,1.06,1.2,170.13,After,True,4.47,2.57
85,K2-137 b,2022-03-05,2459644.619529643,2459644.681238156,2459644.6187407877,2459644.74373556,-47.47,-58.76,-56.8,1.63,1.19,1.06,160.0,After,True,2.1,5.01
86,K2-137 b,2022-03-05,2459644.799237178,2459644.737528594,2459644.6750311935,2459644.800026035,-58.13,-57.65,-44.88,1.21,1.06,1.09,159.32,Before,True,3.45,3.66
87,K2-137 b,2022-03-06,2459645.6977759707,2459645.75948463,2459645.6969871134,2459645.8219821868,-60.1,-54.45,-39.11,1.13,1.05,1.14,146.95,After,True,4.05,3.15
88,K2-137 b,2022-03-06,2459645.8774839374,2459645.8157752054,2459645.7532776524,2459645.878272796,-55.59,-40.85,-22.21,1.05,1.13,1.43,146.27,Before,True,5.4,1.8
89,K2-137 b,2022-03-07,2459646.596316141,2459646.658024843,2459646.5955272834,2459646.7205224372,-41.99,-56.49,-60.03,1.88,1.27,1.08,136.13,After,True,1.68,5.59
90,K2-137 b,2022-03-07,2459646.7760242233,2459646.714315452,2459646.6518178615,2459646.7768130824,-55.39,-60.37,-51.07,1.3,1.09,1.06,135.45,Before,True,3.03,4.24
91,K2-137 b,2022-03-08,2459647.6745658987,2459647.7362747462,2459647.673777039,2459647.7987724934,-59.15,-58.84,-45.88,1.19,1.06,1.1,123.29,After,True,3.62,3.72
92,K2-137 b,2022-03-08,2459647.8542744145,2459647.7925654934,2459647.73006775,2459647.855063276,-59.56,-47.49,-29.68,1.06,1.09,1.31,122.62,Before,True,4.97,2.37
93,K2-137 b,2022-03-09,2459648.752817599,2459648.6911086394,2459648.6286108564,2459648.753606461,-51.17,-61.05,-56.45,1.43,1.12,1.05,112.03,Before,True,2.6,4.82
94,K2-137 b,2022-03-09,2459648.752817599,2459648.8145265984,2459648.7520287377,2459648.877024497,-56.74,-41.79,-23.01,1.05,1.14,1.49,110.58,After,True,5.56,1.85
95,K2-137 b,2022-03-10,2459649.6513621877,2459649.713071225,2459649.6505733253,2459649.775569165,-56.26,-61.57,-52.14,1.27,1.08,1.07,100.02,After,True,3.19,4.3
96,K2-137 b,2022-03-10,2459649.831071258,2459649.7693621456,2459649.70686421,2459649.8318601213,-61.75,-53.55,-36.97,1.09,1.06,1.22,99.36,Before,True,4.55,2.95
97,K2-137 b,2022-03-11,2459650.7296173694,2459650.667908218,2459650.6054102406,2459650.7304062336,-45.91,-59.55,-60.59,1.59,1.18,1.06,88.77,Before,True,2.18,5.39
98,K2-137 b,2022-03-11,2459650.7296173694,2459650.7913265596,2459650.728828505,2459650.8538246527,-60.76,-48.49,-30.5,1.06,1.1,1.35,87.31,After,True,5.14,2.43
99,K2-137 b,2022-03-12,2459651.628164896,2459651.6898741256,2459651.627376031,2459651.7523722597,-51.89,-62.18,-57.59,1.37,1.11,1.06,76.62,After,True,2.77,4.87
100,K2-137 b,2022-03-12,2459651.807874525,2459651.7461652206,2459651.6836670907,2459651.808663391,-61.74,-58.69,-44.02,1.12,1.05,1.15,75.95,Before,True,4.12,3.52
101,K2-137 b,2022-03-13,2459652.7064235867,2459652.6447142432,2459652.582216068,2459652.7072124532,-39.94,-56.17,-62.91,1.83,1.25,1.07,65.11,Before,True,1.75,5.97
102,K2-137 b,2022-03-13,2459652.7064235867,2459652.7681329697,2459652.70563472,2459652.830631259,-62.94,-54.62,-37.84,1.07,1.07,1.25,63.61,After,True,4.71,3.0
103,K2-137 b,2022-03-13,2459652.8861336573,2459652.824424205,2459652.7619259194,2459652.8869225252,-55.98,-39.67,-20.38,1.06,1.22,1.72,62.92,Before,True,6.06,1.65
104,K2-137 b,2022-03-14,2459653.604974072,2459653.6666834964,2459653.604185205,2459653.729181826,-46.5,-60.53,-61.78,1.52,1.15,1.05,52.57,After,True,2.34,5.45
105,K2-137 b,2022-03-14,2459653.7846842655,2459653.722974768,2459653.6604764424,2459653.7854731344,-59.55,-62.42,-50.67,1.18,1.06,1.11,51.87,Before,True,3.69,4.1
106,K2-137 b,2022-03-15,2459654.683236298,2459654.7449458744,2459654.682447429,2459654.8074443606,-62.83,-59.84,-44.93,1.11,1.06,1.17,39.07,After,True,4.29,3.58
107,K2-137 b,2022-03-15,2459654.8629469355,2459654.801237287,2459654.738738805,2459654.8637358057,-60.85,-46.67,-27.97,1.05,1.15,1.52,38.36,Before,True,5.64,2.23
108,K2-137 b,2022-03-16,2459655.5817897595,2459655.64349938,2459655.5810008897,2459655.7059979066,-40.43,-56.99,-64.11,1.72,1.22,1.06,27.67,After,True,1.92,6.02
109,K2-137 b,2022-03-16,2459655.761500521,2459655.699790829,2459655.6372923064,2459655.762289392,-55.61,-64.13,-56.72,1.25,1.07,1.07,26.95,Before,True,3.27,4.67
110,K2-137 b,2022-03-16,2459655.761500521,2459655.8232102515,2459655.76071165,2459655.8857088876,-57.06,-40.53,-21.12,1.07,1.25,1.82,25.38,After,True,6.23,1.71
111,K2-137 b,2022-03-17,2459656.6600555405,2459656.721765312,2459656.659266669,2459656.7842639955,-60.48,-63.62,-51.66,1.15,1.05,1.12,14.19,After,True,3.86,4.09
112,K2-137 b,2022-03-17,2459656.8397667473,2459656.7780569023,2459656.7155582225,2459656.8405556204,-64.1,-53.24,-35.45,1.06,1.11,1.37,13.52,Before,True,5.21,2.73
113,K2-137 b,2022-03-18,2459657.7383233267,2459657.6766134393,2459657.614114718,2459657.7391122,-50.45,-63.43,-61.76,1.35,1.1,1.06,6.57,Before,True,2.84,5.1
114,K2-137 b,2022-03-18,2459657.7383233267,2459657.800033253,2459657.737534453,2459657.86253209,-62.01,-47.59,-28.73,1.06,1.18,1.59,6.87,After,True,5.81,2.14
115,K2-137 b,2022-03-19,2459658.6368813487,2459658.698591316,2459658.6360924747,2459658.761090198,-56.37,-65.3,-57.78,1.22,1.06,1.08,15.86,After,True,3.44,4.51
116,K2-137 b,2022-03-19,2459658.8165931273,2459658.7548830854,2459658.692384207,2459658.8173820027,-65.12,-59.13,-42.75,1.07,1.08,1.27,16.57,Before,True,4.79,3.16
117,K2-137 b,2022-03-20,2459659.7151527167,2459659.653442633,2459659.5909437113,2459659.7159415926,-44.52,-60.52,-65.2,1.49,1.14,1.05,28.52,Before,True,2.42,5.53
118,K2-137 b,2022-03-20,2459659.7151527167,2459659.77686284,2459659.7143638404,2459659.8393618776,-65.31,-54.23,-36.24,1.05,1.12,1.42,30.21,After,True,5.38,2.57
119,K2-137 b,2022-03-21,2459660.613713756,2459660.675423921,2459660.6129248794,2459660.737923003,-51.08,-64.48,-62.91,1.31,1.09,1.06,42.65,After,True,3.01,4.94
120,K2-137 b,2022-03-21,2459660.79342611,2459660.7317158696,2459660.6692167926,2459660.7942149877,-63.64,-63.86,-49.79,1.1,1.06,1.19,43.43,Before,True,4.36,3.58
121,K2-137 b,2022-03-22,2459661.6919887247,2459661.6302784435,2459661.5677793203,2459661.6927776034,-38.08,-55.98,-66.34,1.68,1.21,1.06,56.02,Before,True,1.99,5.95
122,K2-137 b,2022-03-22,2459661.6919887247,2459661.753699046,2459661.6911998466,2459661.8161982847,-66.26,-60.21,-43.58,1.06,1.09,1.3,57.76,After,True,4.96,2.99
123,K2-137 b,2022-03-22,2459661.8717015255,2459661.809991136,2459661.7474919013,2459661.8724904056,-61.48,-45.43,-26.04,1.08,1.27,1.87,58.55,Before,True,6.31,1.64
124,K2-137 b,2022-03-23,2459662.590552797,2459662.6522631613,2459662.589763918,2459662.7147624437,-45.03,-61.39,-66.4,1.43,1.13,1.05,70.4,After,True,2.59,5.36
125,K2-137 b,2022-03-23,2459662.7702657287,2459662.7085552905,2459662.6460560123,2459662.771054609,-60.06,-66.75,-56.39,1.14,1.05,1.13,71.19,Before,True,3.94,4.01
126,K2-137 b,2022-03-24,2459663.668831386,2459663.6071209055,2459663.544621579,2459663.669620267,-31.33,-50.37,-64.87,1.96,1.29,1.08,83.83,Before,True,1.57,6.38
127,K2-137 b,2022-03-24,2459663.668831386,2459663.730541906,2459663.668042505,2459663.7930413466,-64.63,-65.03,-50.68,1.09,1.06,1.21,85.57,After,True,4.53,3.42
128,K2-137 b,2022-03-24,2459663.848544769,2459663.7868341785,2459663.7243347415,2459663.849333652,-65.84,-52.41,-33.64,1.06,1.19,1.63,86.36,Before,True,5.88,2.07
129,K2-137 b,2022-03-25,2459664.567398506,2459664.6291090706,2459664.5666096243,2459664.6916085547,-38.51,-56.67,-67.48,1.6,1.18,1.06,98.17,After,True,2.16,5.78
130,K2-137 b,2022-03-25,2459664.7471120195,2459664.685401382,2459664.622901902,2459664.7479009028,-55.04,-67.09,-62.25,1.2,1.06,1.09,98.96,Before,True,3.51,4.43
131,K2-137 b,2022-03-26,2459665.6456807335,2459665.7073914525,2459665.6448918497,2459665.7698910963,-60.86,-67.94,-57.35,1.12,1.05,1.15,113.22,After,True,4.11,3.84
132,K2-137 b,2022-03-26,2459665.8253947,2459665.7636839077,2459665.701184268,2459665.826183585,-68.08,-58.92,-41.13,1.05,1.13,1.45,114.0,Before,True,5.46,2.49
133,K2-137 b,2022-03-27,2459666.544250913,2459666.6059616795,2459666.5434620283,2459666.668461366,-31.7,-50.93,-65.85,1.83,1.26,1.07,125.65,After,True,1.74,6.21
134,K2-137 b,2022-03-27,2459666.723965011,2459666.6622541733,2459666.5997544904,2459666.7247538967,-49.12,-64.81,-66.82,1.29,1.08,1.07,126.42,Before,True,3.09,4.86
135,K2-137 b,2022-03-27,2459666.723965011,2459666.7856758875,2459666.723176125,2459666.848175685,-67.02,-53.3,-34.36,1.06,1.22,1.71,128.12,After,True,6.05,1.9
136,K2-137 b,2022-03-28,2459667.6225367915,2459667.6842477107,2459667.6217479054,2459667.7467475575,-55.68,-68.19,-63.31,1.18,1.06,1.1,140.38,After,True,3.68,4.26
137,K2-137 b,2022-03-28,2459667.8022513427,2459667.740540349,2459667.6780405063,2459667.80304023,-67.56,-64.57,-48.45,1.06,1.09,1.32,141.14,Before,True,5.03,2.91
138,K2-137 b,2022-03-29,2459668.7008247217,2459668.639113684,2459668.5766137973,2459668.70161361,-42.66,-60.52,-69.24,1.41,1.12,1.05,153.14,Before,True,2.66,5.28
139,K2-137 b,2022-03-29,2459668.7008247217,2459668.7625357993,2459668.7000358338,2459668.825035802,-69.25,-59.89,-41.89,1.05,1.15,1.51,154.76,After,True,5.63,2.32
140,K2-137 b,2022-03-30,2459669.599399573,2459669.661110693,2459669.5986106843,2459669.7236107425,-49.63,-65.71,-67.97,1.25,1.07,1.07,166.07,After,True,3.26,4.69
141,K2-137 b,2022-03-30,2459669.779114709,2459669.717403514,2459669.6549034687,2459669.779903599,-64.47,-68.7,-55.48,1.08,1.07,1.23,166.72,Before,True,4.61,3.34
142,K2-137 b,2022-03-31,2459670.6776911574,2459670.6159799197,2459670.5534798284,2459670.678480048,-35.88,-54.98,-68.78,1.56,1.17,1.06,173.44,Before,True,2.24,5.71
143,K2-137 b,2022-03-31,2459670.6776911574,2459670.7394024353,2459670.6769022667,2459670.8019026425,-68.59,-65.65,-49.24,1.06,1.11,1.37,173.16,After,True,5.2,2.74
144,K2-137 b,2022-04-01,2459671.576269076,2459671.6379803973,2459671.575480185,2459671.7004806492,-43.08,-61.22,-70.4,1.35,1.1,1.06,164.9,After,True,2.83,5.11
145,K2-137 b,2022-04-01,2459671.7559847953,2459671.6942733997,2459671.631773152,2459671.756773688,-59.62,-70.34,-62.01,1.12,1.05,1.16,164.25,Before,True,4.19,3.76
146,K2-137 b,2022-04-02,2459672.654564307,2459672.592852869,2459672.530352574,2459672.6553532,-28.9,-48.71,-65.63,1.78,1.24,1.07,153.44,Before,True,1.82,6.13
