pl_name,pl_bmassj,pl_eqt,pl_imppar,pl_orbeccen,pl_orbincl,pl_orblper,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_projobliq,pl_radj,pl_trandep,pl_trandur,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,ra,dec,sy_hmag,sy_jmag,sy_kmag,sy_vmag,st_logg,st_mass,st_met,st_rad,st_radv,st_teff,st_vsin
"OGLE-2016-BLG-1227L b",0.79000,,,,,,,,,3.400000,,1.240,,,,,,265.5971250,-33.7597778,,,,,,0.10,,,,,
"GJ 480 b",0.04153,,,0.100000,,151.0000,9.56700000,0.00500000,-0.00500000,0.068000,,0.330,,,,,,189.7134226,11.6950708,6.9390000,7.5810000,6.6910000,11.4900000,4.78,0.45,,0.46,,3381.00,
"Kepler-276 c",0.05200,5.63000000000e+02,0.3966,0.000000,86.920,,31.88400000,,,0.199400,,0.259,0.091000,5.0990000,2454993.206960,0.004530,-0.004530,293.5681970,39.0363123,13.8670000,14.2340000,13.8380000,15.4810000,4.46,1.10,0.020,1.03,,5779.00,
"Kepler-829 b",0.01600,8.57000000000e+02,0.0750,0.000000,89.820,,6.88337562,0.00001963,-0.00001963,0.067800,,0.188,0.045840,2.2442000,2454968.264580,0.002430,-0.002430,282.3328312,42.4638125,13.3640000,13.6990000,13.2900000,14.9730000,4.46,0.98,0.030,0.97,,5698.00,
"K2-283 b",0.03830,1.18600000000e+03,0.3700,,,,1.92103600,0.00005100,-0.00005300,0.029100,,0.314,0.196700,1.7496000,2457394.909010,0.001210,-0.001160,13.1943679,9.6929181,12.1140000,12.5790000,11.9830000,14.3640000,4.56,0.89,0.280,0.82,,5060.00,
"Kepler-477 b",0.01550,6.49000000000e+02,0.6800,0.000000,87.750,,11.11990653,0.00001160,-0.00001160,0.091100,,0.185,0.063630,3.3296000,2454972.752936,0.000831,-0.000831,288.0674450,42.3553050,11.8320000,12.2740000,11.7290000,13.8350000,4.58,0.87,-0.040,0.79,,5240.00,
"HAT-P-15 b",1.94000,9.04000000000e+02,0.3420,0.190000,89.100,262.0000,10.86350000,0.00002700,-0.00002700,0.096500,,1.060,1.000000,5.4840000,2454638.560940,0.000480,-0.000480,66.2481420,39.4606020,9.7520000,10.1940000,9.6410000,12.4100000,4.38,1.00,0.220,1.07,31.23,5568.00,2.0000
"HD 149143 b",1.33000,,,0.016700,,217.0000,4.07182000,0.00001000,-0.00001000,0.053000,,1.220,,,,,,248.2126715,2.0844547,6.5350000,6.7590000,6.4340000,7.8900000,4.25,1.20,0.290,1.44,12.06,5856.00,3.9000
"HD 210702 b",1.80800,,,0.028000,,189.0000,354.10000000,0.70000000,-0.70000000,1.148000,,1.200,,,,,,332.9638643,16.0404806,3.9950000,4.5080000,3.9840000,5.9302200,3.28,1.61,0.040,4.92,16.39,4951.00,1.9900
"HIP 12961 b",0.36000,,,0.170000,,272.0000,57.43500000,0.04200000,-0.04200000,0.250000,,1.180,,,,,,41.6800749,-23.0860048,6.9270000,7.5580000,6.7360000,10.2500000,4.65,0.69,-0.140,0.65,,3901.00,
"XO-5 b",1.19000,1.23000000000e+03,0.5500,0.000000,86.800,331.0100,4.18775580,0.00000060,-0.00000060,0.051500,,1.140,1.080000,3.1176000,2456864.312900,0.000200,-0.000200,116.7163868,39.0944695,10.4430000,10.7740000,10.3450000,12.1980000,4.35,1.04,0.050,1.13,-9.84,5430.00,0.7000
"HD 5608 b",1.68100,,,0.056000,,294.0000,779.90000000,4.90000000,-4.90000000,1.911000,,1.200,,,,,,14.5594349,33.9505774,3.8800000,4.4780000,3.8260000,6.0027200,3.19,1.53,0.140,5.14,-22.80,4877.00,1.3700
"HD 95872 b",3.74000,,,0.060000,,17.0000,4375.00000000,170.00000000,-170.00000000,5.150000,,1.160,,,,,,165.8658796,-22.0943303,8.0400000,8.4060000,7.9560000,9.9550000,4.43,0.70,0.410,0.84,1.72,5312.00,
"OGLE-2015-BLG-0966L b",0.06600,,,,,,,,,2.700000,,0.433,,,,,,268.7542500,-29.0471111,,,,,,0.38,,,,,
"WASP-123 b",0.89900,1.52000000000e+03,0.5300,0.000000,85.740,,2.97764120,0.00000230,-0.00000230,0.042630,,1.318,1.110000,3.0936000,2456845.170820,0.000390,-0.000390,289.4792124,-32.8601244,9.4570000,9.7990000,9.3620010,11.0300000,4.29,1.17,0.180,1.28,16.93,5740.00,1.0000
"tau Cet e",0.01237,,,0.180000,,22.3500,162.87000000,1.08000000,-0.46000000,0.538000,,0.161,,,,,,26.0093029,-15.9337987,1.8000000,2.1490000,1.7940000,3.4960700,4.52,0.78,-0.520,0.83,-17.10,5310.00,1.8000
"K2-254 c",0.01710,5.51000000000e+02,0.4200,,,,12.11839000,0.00303000,-0.00321000,0.092300,,0.195,,,2457590.613600,0.010100,-0.010400,185.5507926,-4.7172908,11.3890000,11.9860000,11.2960000,14.2380000,4.64,0.71,-0.140,0.67,,4629.00,
"HD 26965 b",0.02665,,,0.040000,,148.9690,42.37800000,0.01000000,-0.01000000,,,0.254,,,,,,63.8082666,-7.6676027,2.5940000,3.0130000,2.4980000,4.4201800,4.45,0.78,-0.420,0.87,-43.00,5072.00,0.5000
"EPIC 220554210 c",0.00879,,0.2500,,,,0.70531000,0.00005000,-0.00005000,,,0.132,0.026200,1.7040000,2457430.141100,0.001700,-0.001700,13.4321524,7.9952914,12.0840000,12.4370000,12.0020000,14.2100000,4.47,0.94,0.150,1.01,,5523.00,
"NSVS 14256825 b",14.15000,,,0.120000,,133.3000,3225.00000000,22.00000000,-22.00000000,3.120000,,1.100,,,,,,305.0019460,4.6323715,13.7970000,13.6580000,13.9450000,13.2960000,5.50,0.42,,0.19,,40000.00,
"Kepler-1390 b",0.00553,9.34000000000e+02,0.2260,0.000000,86.120,,6.48021673,0.00004630,-0.00004630,0.066200,,0.105,0.014200,3.2110000,2454965.859710,0.005560,-0.005560,298.6624419,48.2488659,12.8200000,13.1780000,12.7640000,14.5580000,4.45,0.98,-0.010,0.98,,5753.00,
"Kepler-393 c",0.00733,9.01000000000e+02,0.7600,0.000000,89.770,,14.61361200,0.00023100,-0.00023100,0.124000,,0.119,0.007460,5.4010000,2454973.412400,0.007360,-0.007360,290.9952050,45.1921880,12.0870000,12.3250000,11.9950000,13.2580000,4.23,1.21,0.032,1.38,,6189.00,
"Kepler-263 c",0.02100,3.86000000000e+02,0.0600,0.000000,89.800,,47.33277300,0.00045600,-0.00045600,0.242000,,0.220,0.097550,3.0690000,2454984.409500,0.005720,-0.005720,292.4698022,37.5677941,13.5310000,13.9940000,13.5480000,15.4350000,4.58,0.80,-0.031,0.79,,5265.00,
"Kepler-1431 b",0.00869,1.06400000000e+03,0.3019,0.000000,86.800,,5.86601526,0.00004724,-0.00004724,0.064800,,0.131,0.018300,3.9780000,2454969.355970,0.006030,-0.006030,292.6583919,49.8651522,13.7870000,14.0980000,13.7560000,15.4000000,4.42,1.03,0.070,1.03,,5806.00,
"Kepler-237 c",0.01570,6.87000000000e+02,0.1400,0.000000,89.870,,8.10363600,0.00003200,-0.00003200,0.071000,,0.186,0.088790,3.1500000,2455009.948050,0.002370,-0.002370,283.2213438,40.4217620,13.2230000,13.7490000,13.1720000,15.6890000,4.58,0.70,0.030,0.72,,4861.00,
"Kepler-1510 b",0.03540,5.37000000000e+02,0.0100,0.000000,89.990,,84.70392100,0.00189600,-0.00189600,0.408900,,0.300,0.065570,10.4470000,2454985.185900,0.020300,-0.020300,298.9591432,48.2578295,13.7790000,14.0760000,13.7280000,15.3150000,4.29,1.19,0.040,1.28,,6200.00,
"Kepler-169 e",0.01720,5.95000000000e+02,0.7900,0.000000,87.990,,13.76710200,0.00003400,-0.00003400,0.105000,,0.196,0.068480,2.9120000,2455007.810640,0.001450,-0.001450,285.9999204,40.9193822,12.2830000,12.7290000,12.1860000,14.4240000,4.58,0.84,0.050,0.76,,4997.00,
"Kepler-145 c",0.25000,7.09000000000e+02,0.7420,0.110000,89.290,,42.88200000,,,0.257800,,0.385,0.040890,9.7471000,2455036.647800,0.000974,-0.000974,291.3877397,44.5290465,10.6930000,10.9130000,10.6280000,11.9770000,4.02,1.32,-0.001,1.85,-26.09,6022.00,
"Kepler-219 c",0.03940,7.66000000000e+02,0.0100,0.000000,87.360,,22.71461300,0.00007500,-0.00007500,0.165000,,0.319,0.056860,5.8080000,2454980.291080,0.002080,-0.002080,288.7389481,46.7625929,12.4000000,12.6780000,12.3890000,13.8230000,4.16,1.17,0.361,1.49,,5786.00,
"Kepler-910 b",0.00150,1.75200000000e+03,0.8120,0.000000,88.440,,2.36436901,0.00000883,-0.00000883,0.038200,,0.073,0.002880,3.2852000,2454965.250060,0.003110,-0.003110,296.0472937,42.7429414,10.3830000,10.6260000,10.3290000,11.4400000,4.19,1.26,0.120,1.50,-1.66,6230.00,
"Kepler-1037 b",0.00687,1.65000000000e+03,0.4660,0.000000,86.110,,1.06378867,0.00000126,-0.00000126,0.019800,,0.114,0.026580,1.0764000,2454964.524735,0.000990,-0.000990,296.3410342,47.1709335,12.3270000,12.8210000,12.2480000,14.4750000,4.57,0.82,-0.030,0.78,,5105.00,
"Kepler-992 b",0.01020,5.10000000000e+02,0.8887,0.000000,86.390,,20.16034462,0.00005016,-0.00005016,0.133900,,0.145,0.033640,3.8215000,2454977.343900,0.002050,-0.002050,284.4304085,47.6416613,11.3810000,11.8990000,11.2740000,13.5570000,4.60,0.80,-0.040,0.74,,4944.00,
"Kepler-113 b",0.03700,7.75000000000e+02,0.0800,0.000000,86.540,,4.75400000,,,0.050200,,0.162,0.074870,2.5037000,2454961.546300,,,287.9978721,50.9441847,11.3600000,11.8860000,11.2550000,13.6550000,4.64,0.75,0.050,0.69,,4725.00,0.4000
"Kepler-1097 b",0.03360,2.67000000000e+02,0.2898,0.000000,90.000,,187.74702900,0.00189400,-0.00189400,0.579100,,0.291,0.158300,5.4080000,2454990.357730,0.005810,-0.005810,281.5941261,42.5963949,13.4040000,13.8380000,13.2520000,15.6520000,4.57,0.82,-0.110,0.79,,5211.00,
"Kepler-382 b",0.00724,1.16600000000e+03,0.6000,0.000000,85.480,,5.26215500,0.00004700,-0.00004700,0.055000,,0.118,0.019450,3.2290000,2454969.367740,0.005730,-0.005730,299.1362435,45.8699582,12.9530000,13.4030000,12.8900000,14.9070000,4.40,0.88,0.082,0.94,,5600.00,
"Kepler-1310 b",0.00839,1.88300000000e+03,0.6430,0.000000,87.190,,0.67933627,0.00000072,-0.00000072,0.014800,,0.128,0.025850,1.1783000,2454965.857331,0.000883,-0.000883,283.9200236,40.7400419,12.5160000,12.9120000,12.4360000,14.3460000,4.51,0.91,-0.070,0.88,,5549.00,
"WD 1856+534 b",13.80000,1.63000000000e+02,7.1600,0.000000,88.778,,1.40794050,0.00000110,-0.00000110,0.020400,,0.928,56.650000,0.1333000,2458779.375083,0.000003,-0.000003,284.4156750,53.5090244,15.4290000,15.6770000,15.5480000,17.2440000,7.92,0.52,,0.01,,4710.00,
"42 Dra b",3.88000,,,0.380000,,218.7000,479.10000000,6.20000000,-6.20000000,1.190000,,1.160,,,,,,276.4975053,65.5633652,2.1970000,2.9490000,2.0850000,4.8262000,1.71,0.98,-0.460,22.03,31.79,4200.00,1.0000
"61 Vir c",0.05700,,,0.140000,,341.0000,38.02100000,0.03400000,-0.03400000,0.217500,,0.398,,,2454922.480000,0.690000,-0.650000,199.5964550,-18.3157745,2.9740000,3.3340000,2.9560000,4.6955000,4.34,0.94,-0.010,0.96,-8.20,5577.00,1.9000
"Kepler-57 b",0.36183,8.50000000000e+02,0.9155,0.000000,88.900,,5.72931960,0.00001800,-0.00001800,0.060000,,0.195,0.086540,1.1185000,2454971.558400,0.001000,-0.001000,293.6413146,44.6570692,13.0220000,13.4370000,12.8970000,15.0170000,4.63,0.83,0.117,0.73,,5145.00,
"70 Vir b",7.49000,,,0.398800,,359.8300,116.68800000,0.00540000,-0.00540000,0.481000,,1.130,,,2455656.682000,0.047000,-0.047000,202.1064898,13.7763085,3.4570000,3.7980000,3.5000000,4.9680800,3.95,1.09,-0.090,1.89,4.95,5495.00,1.5600
"Kepler-255 c",0.02900,8.07000000000e+02,0.3300,0.000000,89.910,,9.94604700,0.00003500,-0.00003500,0.092000,,0.267,0.099450,3.3800000,2455004.700160,0.002100,-0.002100,296.0642702,45.9767647,13.8540000,14.2270000,13.6890000,15.6990000,4.52,0.87,0.339,0.93,,5573.00,
"K2-60 b",0.42600,1.40000000000e+03,0.2100,0.000000,88.490,,3.00265000,0.00004000,-0.00004000,0.045000,,0.683,0.477400,3.0800000,2456928.059300,0.000700,-0.000700,338.6062312,-13.7318044,11.0850000,11.4100000,10.9930000,12.8570000,4.07,0.97,0.010,1.12,-45.48,5500.00,2.2000
"KMT-2016-BLG-2605L b",0.77100,,,,,,,,,0.681000,,1.250,,,,,,269.8230833,-26.9820000,,,,,,0.06,,,,,
"Kepler-52 c",0.14284,4.33000000000e+02,0.0953,0.000000,90.000,,16.38500210,0.00014000,-0.00014000,0.103790,,0.164,0.116550,3.1252000,2455005.725490,0.002700,-0.002700,286.7380152,49.9757383,12.5070000,13.1530000,12.3600000,15.5130000,4.74,0.54,0.000,0.52,,4075.00,
"Kepler-248 b",0.02950,8.19000000000e+02,0.3800,0.000000,89.900,,6.30820500,0.00001000,-0.00001000,0.066000,,0.269,0.144650,3.0080000,2455007.046570,0.000890,-0.000890,293.0613138,43.5813577,13.4420000,13.9110000,13.3570000,15.5060000,4.57,0.90,0.200,0.83,,5190.00,
"24 Sex b",1.99000,,,0.090000,,9.2000,452.80000000,2.10000000,-4.50000000,1.333000,,1.190,,,,,,155.8684866,-0.9023998,4.4860000,5.2920000,4.2850000,6.4535000,3.50,1.54,-0.030,4.90,7.29,5098.00,2.7700
"24 Sex c",0.86000,,,0.290000,,220.5000,883.00000000,32.40000000,-13.80000000,2.080000,,1.240,,,,,,155.8684866,-0.9023998,4.4860000,5.2920000,4.2850000,6.4535000,3.50,1.54,-0.030,4.90,7.29,5098.00,2.7700
"rho CrB c",0.07866,4.48100000000e+02,,0.052000,,190.0000,102.54000000,0.17000000,-0.17000000,0.412300,,0.480,,,2455206.100000,1.700000,-1.900000,240.2600639,33.3001861,3.9890000,4.0880000,3.8570000,5.4081600,4.12,0.89,-0.310,1.36,17.80,5627.00,2.0000
"HAT-P-43 b",0.66200,1.35300000000e+03,0.0700,0.210000,88.700,,3.33264140,0.00001510,-0.00001530,0.044400,,1.216,,3.2496000,2458253.596573,0.000128,-0.000123,128.9256885,10.2065866,11.8090000,12.1460000,11.7640000,13.2790000,4.38,1.03,0.200,1.08,-4.86,5693.00,2.4000
"DENIS-P J082303.1-491201 b",28.50000,,,0.345000,56.600,36.3000,246.36000000,1.38000000,-1.35000000,0.360000,,1.060,,,,,,125.7620668,-49.2003008,12.6360000,13.5470000,12.0620000,,,0.07,,,,,
"HIP 63242 b",9.18000,,,0.230000,,118.2000,124.60000000,,,0.565000,,1.120,,,,,,194.3824825,-65.6463263,4.5810000,5.0450000,4.4060000,6.8600000,2.53,1.54,-0.310,10.28,72.82,4830.00,3.7000
"GJ 504 b",4.00000,5.10000000000e+02,,,,,,,,43.500000,,1.160,,,,,,199.1923480,9.4249781,4.1070000,4.3920000,4.0330000,5.1879900,4.60,1.22,0.280,1.26,-27.40,6234.00,5.4700
"2MASS J01225093-2439505 b",24.50000,1.60000000000e+03,,,,,,,,52.000000,,1.000,,,,,,20.7128012,-24.6646128,9.4700000,10.0840000,9.1980000,14.2440000,4.86,0.40,,0.37,9.60,3530.00,
"WD 0806-661 b",7.50000,3.23000000000e+02,,,,,,,,2500.000000,,1.130,,,,,,121.7275683,-66.3058835,13.7390000,13.7040000,13.7810000,13.8550000,,0.62,,,,9552.00,
"RR Cae b",4.20000,,,0.000000,17.600,,4343.50000000,36.50000000,-36.50000000,5.300000,,1.160,,,,,,65.2733756,-48.6542601,10.1480000,10.7200000,9.8520000,14.3790000,5.08,0.44,,0.19,,3904.00,
"HATS-28 b",0.67200,1.25300000000e+03,0.6430,0.202000,86.170,,3.18107810,0.00000390,-0.00000390,0.041310,,1.194,,2.3544000,2457034.283000,0.000460,-0.000460,284.3997616,-49.1385126,12.1880000,12.5220000,12.0860000,13.9810000,4.48,0.93,0.010,0.92,-8.65,5498.00,2.6000
"2MASS J19383260+4603591 b",1.90000,,,,,,416.00000000,2.00000000,-2.00000000,0.920000,,1.200,,,,,,294.6359173,46.0664076,12.8890000,12.7570000,12.9550000,12.6510000,3.91,0.48,-0.092,0.34,,10868.00,
"HATS-27 b",0.53000,1.65900000000e+03,0.3600,0.581000,87.300,,4.63703800,0.00001400,-0.00001400,0.061100,,1.500,,4.8312000,2457029.337400,0.001100,-0.001100,193.5524603,-46.5877159,11.6510000,11.8310000,11.5500000,12.7820000,4.11,1.42,0.090,1.74,-3.58,6438.00,9.3200
"HATS-15 b",2.17000,1.50500000000e+03,0.3170,0.126000,87.130,,1.74748753,0.00000094,-0.00000094,0.027120,,1.105,,2.2696800,2456387.211610,0.000150,-0.000150,311.0920041,-19.4375266,12.8060000,13.2610000,12.7240000,14.9090000,4.45,0.87,0.000,0.92,-54.15,5311.00,4.1800
"GJ 3341 b",0.02080,,,0.310000,,42.3200,14.20700000,0.00700000,-0.00700000,0.089000,,0.219,,,,,,78.9471415,-31.2948458,7.9900000,8.5920000,7.7330000,12.0620000,4.77,0.47,-0.090,0.44,47.80,3526.00,
"GJ 3512 b",0.46300,,,0.435600,,125.4900,203.59000000,0.14000000,-0.14000000,0.338000,,1.270,,,,,,130.3316616,59.4918364,8.9960000,9.6150000,8.6680000,15.1800000,5.16,0.12,-0.070,0.14,,3081.00,
"GJ 581 b",0.04970,,,0.000000,,118.3000,5.36860000,0.00010000,-0.00010000,0.040610,,0.366,,,2454724.631000,0.043000,-0.040000,229.8564725,-7.7226935,6.0950000,6.7060000,5.8370000,10.5700000,4.89,0.31,-0.088,0.33,-9.21,3396.00,2.1000
"55 Cnc f",0.14100,,,0.080000,89.730,-97.6000,259.88000000,0.29000000,-0.29000000,0.770800,,0.677,,,2456020.700000,5.200000,-6.100000,133.1468373,28.3298154,4.2650000,4.7680000,4.0150000,5.9508400,4.43,0.91,0.350,0.94,27.41,5172.00,1.2300
"G 264-012 b",0.00787,5.87000000000e+02,,,,,2.30538000,0.00031000,-0.00031000,0.022790,,0.124,,,,,,326.6719598,66.8038480,8.2580000,8.8370000,7.9860000,13.0780000,4.85,0.30,0.100,0.30,,3326.00,2.0000
"EPIC 201833600 c",0.00306,,0.4000,,,,3.96151000,0.00046000,-0.00051000,,,0.089,0.048500,2.1600000,2456852.655200,0.002500,-0.002500,169.4836540,5.9882890,11.7650000,12.4100000,11.6640000,14.7050000,4.74,0.61,-0.113,0.63,,4292.67,
"EPIC 205950854 c",0.00714,9.60600000000e+02,0.0640,,89.810,,8.05072200,0.00007500,-0.00003800,,,0.117,0.030300,3.7200000,2456973.764800,0.010000,-0.009900,333.1100738,-16.3418863,10.5890000,10.9570000,10.5490000,12.3650000,4.39,0.88,-0.130,0.83,-10.09,5502.70,
"EPIC 249893012 b",0.02753,1.61600000000e+03,0.4200,0.060000,86.140,225.0000,3.59510000,0.00030000,-0.00030000,0.047000,,0.174,,4.3300000,2457994.396000,0.005000,-0.005000,228.2482353,-16.7246474,9.8000000,10.2160000,9.7140000,11.4290000,3.99,1.05,0.200,1.71,22.36,5430.00,2.1000
"EPIC 249893012 c",0.04616,9.90000000000e+02,0.6000,0.070000,87.940,217.0000,15.62400000,0.00100000,-0.00100000,0.130000,,0.327,,6.3700000,2457998.841000,0.002000,-0.004000,228.2482353,-16.7246474,9.8000000,10.2160000,9.7140000,11.4290000,3.99,1.05,0.200,1.71,22.36,5430.00,2.1000
"GJ 3293 d",0.02391,,,0.120000,,,48.13450000,0.06280000,-0.06610000,0.193940,,0.238,,,,,,67.1484425,-25.1713396,7.7490000,8.3620010,7.4860000,11.9450000,4.78,0.42,0.020,0.40,13.30,3466.00,
"GJ 3473 c",0.02331,3.29100000000e+02,,0.000000,,,15.50900000,0.03300000,-0.03300000,0.087600,,0.235,,,,,,120.5936065,3.3371629,9.0630000,9.6270000,8.8290010,13.7400000,4.81,0.36,0.110,0.36,-1.10,3347.00,2.0000
"GJ 3998 c",0.01970,,,0.049000,,,13.74000000,0.01600000,-0.01600000,0.089000,,0.212,,,,,,259.0020507,11.0561751,7.0200000,7.6340000,6.8160000,10.8440000,4.77,0.50,-0.160,0.49,-44.81,3722.00,0.9300
"BD-08 2823 b",0.04000,,,0.150000,,30.0000,5.60000000,0.02000000,-0.02000000,0.060000,,0.322,,,,,,150.1971964,-9.5165689,7.4980000,7.9600000,7.3230000,9.8600000,4.43,0.50,-0.060,0.71,53.34,4816.00,1.4000
"BD-10 3166 b",0.59000,,,0.020000,,35.0000,3.48777000,0.00011000,-0.00011000,0.040000,,1.260,,,2451705.963000,0.031000,-0.026000,164.6191243,-10.7704227,8.3000000,8.6110000,8.1240000,10.0130000,4.69,1.47,0.380,0.91,26.40,5393.00,0.9200
"TOI-1201 b",0.01976,7.03000000000e+02,0.4040,0.000000,88.110,90.0000,2.49198630,0.00000300,-0.00000310,0.028700,,0.215,0.209396,1.7470000,2459169.232220,0.000520,-0.000540,42.2476999,-14.5372835,8.8760000,9.5280000,8.6460000,12.2600000,4.80,0.51,0.050,0.51,,3476.00,2.0000
"GJ 720 A b",0.04292,4.01000000000e+02,,0.120000,,110.2200,19.46600000,0.00500000,-0.00500000,0.119000,,0.336,,,,,,278.8294172,45.7456038,6.2600000,6.8810000,6.0820000,9.8400000,4.71,0.57,-0.140,0.56,,3837.00,0.9900
"BD-13 2130 b",9.78000,,,0.210000,,18.0000,714.29999000,5.30000000,-5.30000000,1.660000,,1.110,,,,,,114.2884692,-13.9066703,7.3710000,7.9400000,7.1510000,10.0380000,2.20,2.12,-0.080,19.17,18.31,4545.00,
"HD 215152 d",0.00881,,,0.000000,,,10.86499000,0.00564000,-0.00613000,0.087990,,0.132,,,,,,340.8380941,-6.4020685,5.8950000,6.3530000,5.7750000,8.1100000,4.40,0.77,-0.100,0.73,-13.87,4935.00,3.3500
"AB Pic b",13.50000,,,,,,,,,260.000000,,1.100,,,,,,94.8039208,-58.0541184,7.0880000,7.5760000,6.9810000,9.1300000,4.53,0.90,0.040,1.00,22.20,5285.00,10.3500
"GJ 9827 d",0.01271,6.04900000000e+02,0.8927,0.000000,87.443,,6.20146980,0.00006260,-0.00006110,0.055910,,0.180,0.095700,1.2228000,2457740.961150,0.000440,-0.000450,351.7717763,-1.2853435,7.3790000,7.9840000,7.1930000,10.3700000,4.66,0.61,-0.260,0.60,31.95,4340.00,2.0000
"HAT-P-12 b",0.21100,9.63000000000e+02,0.2110,0.000000,89.000,354.3000,3.21305980,0.00000210,-0.00000210,0.038400,-54.00,0.959,1.977000,2.3376000,2454419.195560,0.000200,-0.000200,209.3886452,43.4933100,10.2360000,10.7940000,10.1080000,12.6650000,4.61,0.73,-0.290,0.70,-40.51,4650.00,0.5000
"EPIC 246851721 b",3.00000,1.40100000000e+03,0.6470,,86.210,,6.18023500,0.00001400,-0.00001400,0.072290,-1.47,1.051,0.464000,4.1080800,2457865.110320,0.000100,-0.000100,78.9198197,16.2786991,9.9670000,10.1990000,9.8930000,11.2370000,4.16,1.32,0.141,1.59,36.85,6202.00,74.9200
"CFBDSIR J145829+101343 b",10.50000,3.70000000000e+02,,,,,10037.50000000,2737.50000000,-2737.50000000,2.600000,,1.110,,,,,,224.6208333,10.2286111,,,,,4.72,0.02,,,,580.50,
"CoRoT-14 b",7.60000,1.95200000000e+03,0.8600,0.000000,79.600,,1.51214000,0.00013000,-0.00013000,0.027000,,1.090,,1.6620000,2454787.669400,0.005300,-0.005300,103.4242023,-5.5360385,14.0070000,14.3210000,13.8060000,15.9320000,4.35,1.13,0.050,1.21,,6035.00,9.0000
"EPIC 206024342 b",0.01110,,0.7000,,,,4.50756000,0.00062000,-0.00060000,,,0.152,0.026700,2.1840000,2456899.132400,0.002600,-0.002700,331.2771441,-14.1218019,11.5330000,11.8460000,11.4870000,13.0960000,4.59,0.93,-0.220,0.82,,5724.00,
"EPIC 201427007 b",0.00899,,,,88.500,,0.72091000,0.00014000,-0.00014000,,,0.134,,,2457625.794300,0.002700,-0.002300,184.6021322,-0.5512886,12.6300000,12.9750000,12.5810000,14.3210000,4.40,0.93,-0.053,0.94,,5633.00,
"EPIC 206215704 b",0.00210,,0.2800,,,,2.25372000,0.00047000,-0.00047000,,,0.080,0.269000,0.9840000,2457010.000500,0.000900,-0.000400,335.0949721,-9.5097112,12.9540000,13.5610000,12.7670000,17.8300000,4.99,0.41,,0.37,,3467.00,
"EPIC 212297394 b",0.00879,1.14900000000e+03,0.4100,,,,2.28936300,0.00023200,-0.00025100,,,0.132,0.053500,1.8800000,2457217.963190,0.004892,-0.004738,207.2061241,-17.6098985,12.2230000,12.7350000,12.1860000,14.6110000,4.55,0.83,-0.030,0.80,,5171.00,
"EPIC 212499991 b",0.01000,,0.2800,,,,34.88500000,0.01100000,-0.01000000,,,0.143,,,2457280.625400,0.008100,-0.009600,202.4887520,-12.7347749,11.4560000,11.8770000,11.3660000,13.6720000,4.61,0.91,,0.76,,4982.79,
"EPIC 212737443 c",0.02420,3.16000000000e+02,0.5670,0.200000,89.630,,65.55000000,0.00890000,-0.00890000,0.280000,,0.240,0.110000,4.6080000,2457227.790000,0.005000,-0.005000,204.2215065,-7.3180577,12.2390000,12.8240000,12.1600000,14.8100000,4.62,0.69,-0.137,0.67,-16.00,4684.00,
"GJ 180 c",0.02014,,,0.090000,,230.0000,24.32900000,0.05200000,-0.06600000,0.129000,,0.215,,,,,,73.4600970,-17.7761940,6.8600000,7.4130000,6.5980000,10.9140000,4.81,0.43,,0.41,-15.07,3371.00,
"GJ 229 b",0.02667,,,0.100000,,199.0000,526.11500000,4.30000000,-4.30000000,0.898000,,0.254,,,,,,92.6435993,-21.8677233,4.3930000,5.1040000,4.1660000,8.1500000,4.69,0.58,,0.46,4.02,3564.00,1.0000
"GJ 3138 d",0.03304,,,0.320000,,,257.80000000,3.60000000,-3.50000000,0.698000,,0.288,,,,,,32.2977385,-16.3392495,,,7.2460000,10.8275000,4.63,0.68,-0.300,0.50,13.60,3717.00,
"GJ 3470 b",0.04373,5.93500000000e+02,0.4000,0.017000,89.130,1.7000,3.33664960,0.00000390,-0.00000330,0.035500,,0.408,0.520000,1.8984000,2455983.704210,,,119.7735021,15.3912090,8.2060000,8.7940000,7.9890000,12.3320000,4.70,0.54,0.200,0.55,26.52,3600.00,
"HD 134060 c",0.09220,,,0.110000,,-132.7300,1291.56460000,48.03330000,-44.21970000,2.392800,,0.527,,,,,,227.6847587,-61.4223747,5.0220000,5.2140000,4.8360000,6.2900000,4.43,1.09,0.140,1.16,37.40,5966.00,2.6000
"HD 136352 b",0.01485,9.05000000000e+02,0.5200,0.000000,88.490,-185.6400,11.57797000,0.00008000,-0.00013000,0.096400,,0.148,0.020800,3.9350000,2458944.372600,0.001500,-0.001700,230.4401147,-48.3188174,3.8980000,4.3080000,4.1590000,5.6500000,4.39,0.87,-0.240,1.06,-69.00,5664.00,1.0000
"GJ 433 b",0.01901,,,0.040000,,154.0000,7.37050000,0.00050000,-0.00050000,0.062000,,0.208,,,,,,173.8619194,-32.5436302,5.8560000,6.4710000,5.6230000,9.8100000,4.81,0.48,-0.170,0.50,17.53,3461.00,
"GJ 433 d",0.01643,,,0.070000,,159.0000,36.05900000,0.01600000,-0.01600000,0.178000,,0.191,,,,,,173.8619194,-32.5436302,5.8560000,6.4710000,5.6230000,9.8100000,4.76,0.48,-0.170,0.47,17.53,3461.00,
