pl_name,pl_bmassj,pl_eqt,pl_imppar,pl_orbeccen,pl_orbincl,pl_orblper,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_projobliq,pl_radj,pl_trandep,pl_trandur,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,ra,dec,sy_hmag,sy_jmag,sy_kmag,sy_vmag,st_logg,st_mass,st_met,st_rad,st_radv,st_teff,st_vsin
"Kepler-1184 b",0.02410,5.29000000000e+02,0.5971,0.000000,89.200,,53.59910440,0.00036740,-0.00036740,0.286300,,0.239,0.052310,6.6620000,2454980.428850,0.005240,-0.005240,291.2820310,46.9659514,13.5540000,13.8660000,13.4900000,14.9900000,4.41,1.05,-0.040,1.07,,5983.00,
"Kepler-1209 b",0.00909,7.55000000000e+02,0.0573,0.000000,87.870,,25.36911600,0.00012490,-0.00012490,0.180000,,0.135,0.011380,4.6340000,2454976.687380,0.004250,-0.004250,287.5849352,49.1547328,11.2740000,11.4990000,11.2390000,12.5540000,4.24,1.23,0.120,1.38,-26.47,6210.00,
"Kepler-1198 b",0.00869,8.30000000000e+02,0.0598,0.000000,89.890,,7.68477160,0.00003250,-0.00003250,0.073200,,0.131,0.027410,2.5990000,2454970.639850,0.003830,-0.003830,288.8339659,44.8381980,13.1490000,13.4830000,13.0120000,14.9860000,4.50,0.93,0.030,0.90,,5517.00,
"Kepler-1572 b",0.00245,1.29300000000e+03,0.1232,0.000000,89.310,,5.49548621,0.00002920,-0.00002920,0.061400,,0.084,0.008580,2.5110000,2454966.637730,0.005030,-0.005030,281.8973341,46.7227061,12.3560000,12.6850000,12.3650000,13.8790000,4.47,0.97,0.080,0.95,,5618.00,
"Kepler-1573 b",0.00588,1.37900000000e+03,0.2500,0.000000,87.980,,2.61575540,0.00001498,-0.00001498,0.036400,,0.107,0.012040,2.6390000,2454964.982360,0.005170,-0.005170,292.9883129,49.4849664,13.6800000,14.0210000,13.6770000,15.3040000,4.44,1.01,0.020,1.00,,5808.00,
"Kepler-1230 b",0.02450,9.46000000000e+02,0.9600,0.000000,83.620,,9.95661537,0.00004469,-0.00004469,0.092100,,0.242,0.058680,2.8700000,2454969.590340,0.004630,-0.004630,283.2645129,41.7114526,13.8750000,14.2320000,13.9150000,15.6280000,4.40,1.06,0.010,1.08,,5961.00,
"Kepler-1212 b",0.01640,7.95000000000e+02,0.0280,0.000000,89.930,,12.94130146,0.00007910,-0.00007910,0.108200,,0.191,0.032880,4.4680000,2454972.893120,0.004860,-0.004860,296.8534096,50.0373196,13.5440000,13.8720000,13.5650000,15.1330000,4.36,1.10,0.030,1.15,,6051.00,
"Kepler-1254 b",0.00951,6.60000000000e+02,0.1954,0.000000,88.160,,9.99113313,0.00005610,-0.00005610,0.083300,,0.138,0.039170,2.6450000,2454967.392930,0.004120,-0.004120,285.1733174,48.7700099,13.2880000,13.8660000,13.2920000,15.5410000,4.59,0.78,-0.100,0.75,,4985.00,
"Kepler-1259 b",0.00829,1.68100000000e+03,0.3047,0.000000,71.760,,0.66308526,0.00000087,-0.00000087,0.014100,,0.128,0.032270,1.0691000,2454964.979450,0.000996,-0.000996,297.8414628,46.9676288,13.3390000,13.8720000,13.2800000,15.5560000,4.58,0.80,-0.070,0.77,,5053.00,
"Kepler-126 b",0.00920,1.00900000000e+03,0.6500,0.070000,89.460,,10.49571100,0.00002800,-0.00002800,0.099000,,0.136,0.011310,4.8150000,2455005.789660,0.001650,-0.001650,289.3473634,44.2084445,9.4070000,9.6160000,9.3440000,10.5050000,4.25,1.18,-0.070,1.36,-20.74,6239.00,
