airmass,time,barycentric velocity
1.9719814968193237,2459812.584587532,-5.627475028245962
1.9230859620273069,2459812.588221791,-5.618999832395296
1.8777640768235058,2459812.5918560503,-5.610388852673803
1.835705718923376,2459812.5954903094,-5.601645786904477
1.7966379255925464,2459812.5991245685,-5.592774402139749
1.7603196308506923,2459812.6027588276,-5.583778532695112
1.7265372806423025,2459812.6063930867,-5.574662078136019
1.6951011605479012,2459812.610027346,-5.565429001213895
1.6658423053454026,2459812.613661605,-5.556083325825054
1.6386098862054854,2459812.617295864,-5.546629134870415
1.6132689925907624,2459812.620930123,-5.537070568125896
1.589698741484124,2459812.6245643822,-5.527411820078206
1.5677906602171956,2459812.6281986414,-5.517657137722758
1.5474472983324836,2459812.6318329005,-5.50781081831715
1.5285810325888234,2459812.6354671596,-5.4978772071656055
1.511113035488044,2459812.6391014187,-5.487860695309172
1.4949723827341532,2459812.642735678,-5.477765717232458
1.4800952794266544,2459812.646369937,-5.467596748558953
1.4664243881678871,2459812.650004196,-5.4573583036727005
1.4539082449557463,2459812.653638455,-5.447054933360743
1.4425007510911105,2459812.657272714,-5.436691222449982
1.4321607313577869,2459812.6609069733,-5.426271787374552
1.4228515500445307,2459812.6645412324,-5.415801273764832
1.414540777937735,2459812.6681754915,-5.405284354031524
1.4071999043803876,2459812.6718097506,-5.3947257248848315
1.400804089520604,2459812.6754440097,-5.384130104880669
1.3953319525715882,2459812.679078269,-5.373502231969655
1.3907653926730361,2459812.682712528,-5.3628468609848445
1.3870894395233893,2459812.686346787,-5.352168761157445
1.3842921313979473,2459812.689981046,-5.3414727136392335
1.3823644187348598,2459812.6936153052,-5.330763508950566
1.3813000918080012,2459812.6972495643,-5.320045944505595
1.3810957313971406,2459812.7008838234,-5.309324822091978
1.3817506817356722,2459812.7045180826,-5.29860494533885
1.38326704533202,2459812.7081523417,-5.287891117204115
1.3856496995873417,2459812.7117866008,-5.277188137479771
1.3889063354470998,2459812.71542086,-5.2665008002293785
1.3930475186886246,2459812.719055119,-5.255833891312113
1.3980867747100483,2459812.722689378,-5.2451921858680475
1.404040698138593,2459812.726323637,-5.234580445800091
1.4109290889170163,2459812.7299578963,-5.224003417283729
1.4187751169503509,2459812.7335921554,-5.213465828301391
1.4276055179452665,2459812.7372264145,-5.202972386117975
1.4374508235582146,2459812.7408606736,-5.192527774850322
1.448345629674248,2459812.7444949327,-5.182136653005681
1.4603289072690522,2459812.748129192,-5.1718036510224445
1.4734443613636719,2459812.751763451,-5.1615333688624965
1.4877408443931244,2459812.75539771,-5.1513303735936775
1.5032728316222939,2459812.759031969,-5.141199196979
1.5201009677412725,2459812.762666228,-5.131144333122916
1.5382926954262701,2459812.7663004873,-5.121170236112782
1.5579229787166684,2459812.7699347464,-5.11128131766664
1.5790751367780596,2459812.7735690055,-5.101481944842924
1.6018418064752125,2459812.7772032646,-5.091776437731341
1.6263260563021376,2459812.7808375238,-5.082169067199165
1.6526426784552266,2459812.784471783,-5.072664052646501
1.6809196921461793,2459812.788106042,-5.063265559805931
1.7113000981381705,2459812.791740301,-5.053977698538176
1.7439439335464582,2459812.79537456,-5.044804520700593
1.779030687611657,2459812.7990088193,-5.035750018002975
1.816762153379976,2459812.8026430784,-5.026818119926035
1.8573658086390026,2459812.8062773375,-5.018012691655875
